JobID,WelderName,BusinessTool,ProductType,MaterialType,RodDiameter(mm),Thickness(mm),WeldLength(cm),ProductionTime(min),WeldStrength(%),HeatInput(J/cm),DefectCount,PenetrationDepth(mm),WireUsed(kg),WeldingMethod,LaborCost(₹),MaterialCost(₹),TransportCost(₹),OverheadCost(₹),TotalCost(₹),Quantity,UnitPrice(₹),QA_Status,ReworkNeeded,ProfitMargin(%)
JOB1000,Welder_4,Welder,Tank Base,Copper,7.38,16.48,,197.0,93.5,,0.0,3.4,4.96,Laser,1698.0,1942.0,908.0,531.0,,37.0,7700.0,Fail,No,28.84
JOB1001,Welder_8,Compressor,Tank Base,Aluminium,,15.78,75.1,,68.6,277.8,4.0,5.63,1.36,Gas,1823.0,,876.0,1134.0,5986.0,11.0,5113.0,Pending,No,6.97
JOB1002,Welder_25,Cutter,Tank Base,Stainless Steel,4.45,15.46,60.5,292.0,64.8,202.5,2.0,1.96,0.89,Gas,1686.0,3002.0,,557.0,5352.0,44.0,7546.0,Pending,No,18.39
JOB1003,Welder_17,Compressor,Tank Base,Mild Steel,8.31,4.57,126.7,220.0,94.1,176.2,1.0,6.94,2.02,Arc,1706.0,3769.0,271.0,1988.0,7734.0,22.0,9396.0,Pending,,12.81
JOB1004,Welder_6,,Machinery Part,Titanium,5.57,2.68,26.1,85.0,66.3,368.0,3.0,,1.08,TIG,903.0,781.0,459.0,1579.0,3722.0,41.0,5594.0,Fail,Yes,10.63
JOB1005,Welder_13,Grinder,Machinery Part,Titanium,,14.28,78.3,157.0,99.0,100.2,3.0,7.47,2.85,TIG,1376.0,1524.0,294.0,702.0,3896.0,13.0,1561.0,Fail,Yes,
JOB1006,Welder_4,Cutter,Steel Frame,Mild Steel,8.58,8.0,14.0,222.0,93.7,422.4,2.0,5.71,3.35,TIG,1022.0,3903.0,368.0,723.0,6016.0,3.0,6400.0,,Yes,20.15
JOB1007,Welder_19,Cutter,Pipe Joint,Mild Steel,8.86,9.21,15.3,118.0,80.0,131.7,1.0,1.41,3.1,,1872.0,1735.0,118.0,1069.0,4794.0,13.0,8333.0,Pass,No,5.24
JOB1008,Welder_1,Cutter,Tank Base,,9.33,1.59,88.2,138.0,99.3,176.6,3.0,9.4,1.67,TIG,984.0,4682.0,453.0,364.0,6483.0,28.0,4314.0,Pending,Yes,24.51
JOB1009,Welder_6,Compressor,Steel Frame,Aluminium,5.45,5.93,87.1,19.0,,254.5,3.0,7.35,,Gas,1372.0,1285.0,963.0,489.0,4109.0,11.0,4960.0,Pending,No,25.5
